PCA1,PCA2,Predicted,True
-1434.0784,-501.3548,right,right
-1176.6199,-388.3591,right,right
1227.5984,-558.38446,right,right
1025.2563,789.43915,right,right
503.03558,326.5576,right,right
-637.48126,1720.9675,right,right
802.28534,67.67199,right,right
-283.5423,-1327.3176,right,right
-581.9451,-1379.2114,right,right
492.90033,-1056.9581,right,right
-1141.7566,1288.0248,right,right
-765.65314,-195.8208,right,right
228.47919,-1178.9524,right,right
-503.70245,1258.3325,right,right
2133.071,-432.35077,right,right
-56.021782,-2054.9026,right,right
-526.0667,-969.1227,right,right
-26.257135,-608.0274,right,right
1063.5315,-397.41046,right,right
-2674.2185,-1263.5645,right,right
888.8842,1051.5067,right,right
-2162.3225,1272.0883,right,right
-1554.0823,1859.8286,right,right
-1150.6082,53.283627,right,right
407.08124,-232.76877,right,right
-1971.9675,1275.1416,right,right
-462.1468,-400.13928,right,right
413.2331,105.90584,right,right
-2013.7385,1115.0145,right,right
1331.7092,-1131.1992,right,right
1643.291,867.0735,right,right
630.6242,-705.59204,right,right
-541.96954,941.28925,right,right
-421.1634,1432.9286,right,right
-2481.179,230.96011,no,right
1151.8796,29.802034,right,right
168.85419,-171.94147,right,right
1578.3577,-432.64716,right,right
35.282906,224.83807,right,right
1619.408,-411.727,right,right
2016.5625,-424.3927,right,right
-977.9681,1875.7104,right,right
2271.4248,-441.39972,right,right
-1317.3645,-688.0926,right,right
2931.3909,765.7262,right,right
1879.6255,1139.4376,right,right
437.4582,1061.1923,right,right
-2145.0945,117.504036,right,right
-2892.008,-1236.4913,right,right
758.12054,1161.8274,right,right
-2247.9646,190.14401,right,right
-942.2957,270.55118,right,right
543.5944,-165.17288,right,right
-634.8338,-1049.5839,right,right
-1506.7454,-391.07364,right,right
-421.50763,690.24585,right,right
1090.7815,-961.2953,right,right
-521.1121,49.59247,up,right
24.112982,198.72311,right,right
-521.9012,-1251.1001,right,right
1457.543,557.12946,right,right
239.77753,540.66626,right,right
852.3151,491.54193,right,right
1601.5964,713.695,right,right
-2240.9548,31.601282,up,right
943.0192,1006.6473,right,right
-10.385064,54.357014,right,right
109.11591,-318.45206,right,right
44.97773,-686.32806,right,right
-850.2874,33.034557,right,right
-1753.0974,1141.066,right,right
1157.2385,-809.4539,right,right
51.007027,-361.38837,right,right
1607.7852,-502.72156,right,right
940.7553,-753.84906,right,right
1763.6741,-499.2959,right,right
-119.86993,2305.8809,right,right
-238.51984,-460.40802,right,right
558.7568,-1146.3104,right,right
-546.64386,-879.61206,right,right
877.64716,1427.9072,right,right
1886.612,668.1112,up,right
-1343.5598,-388.43307,right,right
-455.10773,-989.2512,right,right
812.5236,-125.91782,right,right
-1358.0579,14.583086,down,right
-518.013,870.94,right,right
91.94453,182.82967,right,right
342.80878,-414.72784,right,right
-1441.3181,-1120.703,right,right
-600.1893,-913.4913,right,right
-709.60236,-256.14108,right,right
1148.4834,69.22161,right,right
-649.8636,857.88586,right,right
-119.2293,-737.7017,right,right
-1430.866,-681.6355,right,right
-640.4295,-1287.1453,right,right
1746.6619,-502.2932,right,right
609.7275,556.80054,right,right
1262.7031,-325.10938,right,right
-741.4661,1847.9846,right,right
1944.1855,60.71231,right,right
-3773.2356,20.251497,up,right
489.75482,321.3734,right,right
-280.8885,-1210.6132,right,right
-2643.5022,-101.71014,go,right
327.91473,525.7958,right,right
-1295.0549,1726.7952,right,right
706.74457,159.68726,right,right
0.8336858,-813.6803,right,right
-845.14044,-1362.8152,right,right
-2067.2,2.279856,right,right
-1278.9797,-749.70074,up,right
-2706.1223,-179.59738,right,right
841.7338,-1046.2485,right,right
-1555.9753,-18.129263,right,right
-191.9295,38.790413,right,right
750.89935,-228.30667,right,right
1693.7805,75.30882,right,right
-192.09845,-1175.1644,right,right
1531.4612,-1136.8523,right,right
2025.7354,-679.0888,right,right
788.7314,165.18445,right,right
-1001.23517,-501.91602,right,right
-273.99542,-1120.4132,right,right
-2368.3918,-1528.5093,right,right
-304.93048,-7.30351,right,right
2031.8235,-266.54584,right,right
